Post injection (days),Porosity,Permeability,Thickness,Salinity,depth,Residual gas saturation,Injection rate (ton/day),RTI,STI
322,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.5,0.244
333,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.498,0.246
343,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.496,0.247
353,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.494,0.249
364,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.493,0.251
374,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.491,0.252
385,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.49,0.254
395,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.489,0.255
405,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.488,0.257
416,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.487,0.258
426,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.486,0.26
437,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.485,0.261
447,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.484,0.262
457,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.483,0.264
468,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.482,0.265
478,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.481,0.266
489,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.48,0.267
499,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.479,0.269
509,0.26161616,127.07071,8.1767677,32515.152,1660.6061,0.24949495,35011.5636,0.478,0.27
10,0.13434343,65.656566,5.5858586,7303.0303,1527.2727,0.2979798,45452.56947,0.418,0.161
20,0.13434343,65.656566,5.5858586,7303.0303,1527.2727,0.2979798,45452.56947,0.461,0.17
30,0.13434343,65.656566,5.5858586,7303.0303,1527.2727,0.2979798,45452.56947,0.479,0.175
40,0.13434343,65.656566,5.5858586,7303.0303,1527.2727,0.2979798,45452.56947,0.485,0.179
52,0.13434343,65.656566,5.5858586,7303.0303,1527.2727,0.2979798,45452.56947,0.489,0.183
62,0.13434343,65.656566,5.5858586,7303.0303,1527.2727,0.2979798,45452.56947,0.491,0.186
72,0.13434343,65.656566,5.5858586,7303.0303,1527.2727,0.2979798,45452.56947,0.492,0.188
83,0.13434343,65.656566,5.5858586,7303.0303,1527.2727,0.2979798,45452.56947,0.492,0.19
93,0.13434343,65.656566,5.5858586,7303.0303,1527.2727,0.2979798,45452.56947,0.493,0.193
104,0.13434343,65.656566,5.5858586,7303.0303,1527.2727,0.2979798,45452.56947,0.493,0.195
114,0.13434343,65.656566,5.5858586,7303.0303,1527.2727,0.2979798,45452.56947,0.492,0.197
124,0.13434343,65.656566,5.5858586,7303.0303,1527.2727,0.2979798,45452.56947,0.492,0.2
135,0.13434343,65.656566,5.5858586,7303.0303,1527.2727,0.2979798,45452.56947,0.49,0.202
145,0.13434343,65.656566,5.5858586,7303.0303,1527.2727,0.2979798,45452.56947,0.489,0.204
156,0.13434343,65.656566,5.5858586,7303.0303,1527.2727,0.2979798,45452.56947,0.487,0.206
166,0.13434343,65.656566,5.5858586,7303.0303,1527.2727,0.2979798,45452.56947,0.486,0.209
176,0.13434343,65.656566,5.5858586,7303.0303,1527.2727,0.2979798,45452.56947,0.484,0.211
187,0.13434343,65.656566,5.5858586,7303.0303,1527.2727,0.2979798,45452.56947,0.483,0.213
197,0.13434343,65.656566,5.5858586,7303.0303,1527.2727,0.2979798,45452.56947,0.481,0.215
208,0.13434343,65.656566,5.5858586,7303.0303,1527.2727,0.2979798,45452.56947,0.48,0.217
218,0.13434343,65.656566,5.5858586,7303.0303,1527.2727,0.2979798,45452.56947,0.478,0.219
228,0.13434343,65.656566,5.5858586,7303.0303,1527.2727,0.2979798,45452.56947,0.476,0.221
239,0.13434343,65.656566,5.5858586,7303.0303,1527.2727,0.2979798,45452.56947,0.475,0.223
249,0.13434343,65.656566,5.5858586,7303.0303,1527.2727,0.2979798,45452.56947,0.473,0.226
260,0.13434343,65.656566,5.5858586,7303.0303,1527.2727,0.2979798,45452.56947,0.472,0.228
270,0.13434343,65.656566,5.5858586,7303.0303,1527.2727,0.2979798,45452.56947,0.47,0.23
281,0.13434343,65.656566,5.5858586,7303.0303,1527.2727,0.2979798,45452.56947,0.469,0.232
291,0.13434343,65.656566,5.5858586,7303.0303,1527.2727,0.2979798,45452.56947,0.467,0.234
301,0.13434343,65.656566,5.5858586,7303.0303,1527.2727,0.2979798,45452.56947,0.466,0.236
312,0.13434343,65.656566,5.5858586,7303.0303,1527.2727,0.2979798,45452.56947,0.464,0.238
322,0.13434343,65.656566,5.5858586,7303.0303,1527.2727,0.2979798,45452.56947,0.463,0.24
333,0.13434343,65.656566,5.5858586,7303.0303,1527.2727,0.2979798,45452.56947,0.462,0.242
343,0.13434343,65.656566,5.5858586,7303.0303,1527.2727,0.2979798,45452.56947,0.461,0.244
353,0.13434343,65.656566,5.5858586,7303.0303,1527.2727,0.2979798,45452.56947,0.46,0.245
364,0.13434343,65.656566,5.5858586,7303.0303,1527.2727,0.2979798,45452.56947,0.459,0.247
374,0.13434343,65.656566,5.5858586,7303.0303,1527.2727,0.2979798,45452.56947,0.458,0.249
385,0.13434343,65.656566,5.5858586,7303.0303,1527.2727,0.2979798,45452.56947,0.457,0.251
395,0.13434343,65.656566,5.5858586,7303.0303,1527.2727,0.2979798,45452.56947,0.456,0.253
405,0.13434343,65.656566,5.5858586,7303.0303,1527.2727,0.2979798,45452.56947,0.455,0.254
416,0.13434343,65.656566,5.5858586,7303.0303,1527.2727,0.2979798,45452.56947,0.454,0.256
426,0.13434343,65.656566,5.5858586,7303.0303,1527.2727,0.2979798,45452.56947,0.453,0.258
437,0.13434343,65.656566,5.5858586,7303.0303,1527.2727,0.2979798,45452.56947,0.452,0.26
7670,0.14,251.491,77,19000,2622.1,0.326,1508.76,0.0803,0.1699
8035,0.14,251.491,77,19000,2622.1,0.326,1508.76,0.0803,0.1705
8401,0.14,251.491,77,19000,2622.1,0.326,1508.76,0.0803,0.1711
8766,0.14,251.491,77,19000,2622.1,0.326,1508.76,0.0804,0.1717
9131,0.14,251.491,77,19000,2622.1,0.326,1508.76,0.0804,0.1723
9496,0.14,251.491,77,19000,2622.1,0.326,1508.76,0.0805,0.1729
9862,0.14,251.491,77,19000,2622.1,0.326,1508.76,0.0805,0.1735
10227,0.14,251.491,77,19000,2622.1,0.326,1508.76,0.0806,0.1741
10592,0.14,251.491,77,19000,2622.1,0.326,1508.76,0.0806,0.1746
10957,0.14,251.491,77,19000,2622.1,0.326,1508.76,0.0807,0.1752
11323,0.14,251.491,77,19000,2622.1,0.326,1508.76,0.0807,0.1757
11688,0.14,251.491,77,19000,2622.1,0.326,1508.76,0.0808,0.1762
12053,0.14,251.491,77,19000,2622.1,0.326,1508.76,0.0809,0.1767
12418,0.14,251.491,77,19000,2622.1,0.326,1508.76,0.0809,0.1772
12784,0.14,251.491,77,19000,2622.1,0.326,1508.76,0.081,0.1777
13149,0.14,251.491,77,19000,2622.1,0.326,1508.76,0.0811,0.1782
13514,0.14,251.491,77,19000,2622.1,0.326,1508.76,0.0812,0.1786
13879,0.14,251.491,77,19000,2622.1,0.326,1508.76,0.0812,0.1791
14245,0.14,251.491,77,19000,2622.1,0.326,1508.76,0.0813,0.1795
14610,0.14,251.491,77,19000,2622.1,0.326,1508.76,0.0814,0.18
40150,0.1,2.9,280,57500,3650,0.35,65,0.1,0.216
43800,0.1,2.9,280,57500,3650,0.35,65,0.105,0.228
47450,0.1,2.9,280,57500,3650,0.35,65,0.104,0.236
51100,0.1,2.9,280,57500,3650,0.35,65,0.103,0.243
54750,0.1,2.9,280,57500,3650,0.35,65,0.105,0.252
58400,0.1,2.9,280,57500,3650,0.35,65,0.108,0.261
62050,0.1,2.9,280,57500,3650,0.35,65,0.111,0.267
65700,0.1,2.9,280,57500,3650,0.35,65,0.116,0.272
69350,0.1,2.9,280,57500,3650,0.35,65,0.118,0.278
73000,0.1,2.9,280,57500,3650,0.35,65,0.12,0.284
76650,0.1,2.9,280,57500,3650,0.35,65,0.12,0.289
80300,0.1,2.9,280,57500,3650,0.35,65,0.12,0.294
83950,0.1,2.9,280,57500,3650,0.35,65,0.122,0.298
87600,0.1,2.9,280,57500,3650,0.35,65,0.123,0.302
91250,0.1,2.9,280,57500,3650,0.35,65,0.124,0.306
94900,0.1,2.9,280,57500,3650,0.35,65,0.124,0.311
98550,0.1,2.9,280,57500,3650,0.35,65,0.125,0.317
102200,0.1,2.9,280,57500,3650,0.35,65,0.127,0.323
105850,0.1,2.9,280,57500,3650,0.35,65,0.127,0.328
3285,0.2,0.3,11,100000,750,0.28,80,0.222,0.122
3650,0.2,0.3,11,100000,750,0.28,80,0.227,0.125
4015,0.2,0.3,11,100000,750,0.28,80,0.232,0.128
4380,0.2,0.3,11,100000,750,0.28,80,0.238,0.131
4745,0.2,0.3,11,100000,750,0.28,80,0.244,0.134
5110,0.2,0.3,11,100000,750,0.28,80,0.249,0.137
5475,0.2,0.3,11,100000,750,0.28,80,0.255,0.14
5840,0.2,0.3,11,100000,750,0.28,80,0.26,0.144
6205,0.2,0.3,11,100000,750,0.28,80,0.266,0.147
6570,0.2,0.3,11,100000,750,0.28,80,0.271,0.15
6935,0.2,0.3,11,100000,750,0.28,80,0.276,0.153
7300,0.2,0.3,11,100000,750,0.28,80,0.28,0.154
7665,0.2,0.3,11,100000,750,0.28,80,0.284,0.155
8030,0.2,0.3,11,100000,750,0.28,80,0.288,0.156
8395,0.2,0.3,11,100000,750,0.28,80,0.293,0.156
8760,0.2,0.3,11,100000,750,0.28,80,0.297,0.157
9125,0.2,0.3,11,100000,750,0.28,80,0.301,0.157
9490,0.2,0.3,11,100000,750,0.28,80,0.305,0.158
9855,0.2,0.3,11,100000,750,0.28,80,0.309,0.158
10220,0.2,0.3,11,100000,750,0.28,80,0.313,0.159
10585,0.2,0.3,11,100000,750,0.28,80,0.317,0.159
10950,0.2,0.3,11,100000,750,0.28,80,0.32,0.16
11315,0.2,0.3,11,100000,750,0.28,80,0.324,0.161
11680,0.2,0.3,11,100000,750,0.28,80,0.327,0.162
12045,0.2,0.3,11,100000,750,0.28,80,0.33,0.163
12410,0.2,0.3,11,100000,750,0.28,80,0.334,0.163
12775,0.2,0.3,11,100000,750,0.28,80,0.337,0.164
13140,0.2,0.3,11,100000,750,0.28,80,0.341,0.165
13505,0.2,0.3,11,100000,750,0.28,80,0.344,0.166
13870,0.2,0.3,11,100000,750,0.28,80,0.347,0.167
14235,0.2,0.3,11,100000,750,0.28,80,0.351,0.167
14600,0.2,0.3,11,100000,750,0.28,80,0.353,0.168
14965,0.2,0.3,11,100000,750,0.28,80,0.356,0.169
15330,0.2,0.3,11,100000,750,0.28,80,0.359,0.17
15695,0.2,0.3,11,100000,750,0.28,80,0.362,0.17
16060,0.2,0.3,11,100000,750,0.28,80,0.365,0.171
16425,0.2,0.3,11,100000,750,0.28,80,0.368,0.171
16790,0.2,0.3,11,100000,750,0.28,80,0.371,0.172
17155,0.2,0.3,11,100000,750,0.28,80,0.374,0.173
17520,0.2,0.3,11,100000,750,0.28,80,0.377,0.173
17885,0.2,0.3,11,100000,750,0.28,80,0.379,0.174
18250,0.2,0.3,11,100000,750,0.28,80,0.382,0.174
18615,0.2,0.3,11,100000,750,0.28,80,0.385,0.174
18980,0.2,0.3,11,100000,750,0.28,80,0.388,0.174
19345,0.2,0.3,11,100000,750,0.28,80,0.391,0.175
19710,0.2,0.3,11,100000,750,0.28,80,0.394,0.175
20075,0.2,0.3,11,100000,750,0.28,80,0.397,0.175
20440,0.2,0.3,11,100000,750,0.28,80,0.4,0.175
20805,0.2,0.3,11,100000,750,0.28,80,0.402,0.176
21170,0.2,0.3,11,100000,750,0.28,80,0.405,0.176
21535,0.2,0.3,11,100000,750,0.28,80,0.408,0.176
21900,0.2,0.3,11,100000,750,0.28,80,0.411,0.177
22265,0.2,0.3,11,100000,750,0.28,80,0.413,0.177
22630,0.2,0.3,11,100000,750,0.28,80,0.415,0.178
22995,0.2,0.3,11,100000,750,0.28,80,0.417,0.178
23360,0.2,0.3,11,100000,750,0.28,80,0.419,0.179
23725,0.2,0.3,11,100000,750,0.28,80,0.422,0.179
24090,0.2,0.3,11,100000,750,0.28,80,0.424,0.179
24455,0.2,0.3,11,100000,750,0.28,80,0.426,0.18
24820,0.2,0.3,11,100000,750,0.28,80,0.428,0.18
25185,0.2,0.3,11,100000,750,0.28,80,0.43,0.181
25550,0.2,0.3,11,100000,750,0.28,80,0.432,0.182
25915,0.2,0.3,11,100000,750,0.28,80,0.434,0.182
26280,0.2,0.3,11,100000,750,0.28,80,0.436,0.183
26645,0.2,0.3,11,100000,750,0.28,80,0.438,0.184
27010,0.2,0.3,11,100000,750,0.28,80,0.44,0.184
27375,0.2,0.3,11,100000,750,0.28,80,0.442,0.185
27740,0.2,0.3,11,100000,750,0.28,80,0.444,0.186
28105,0.2,0.3,11,100000,750,0.28,80,0.446,0.187
28470,0.2,0.3,11,100000,750,0.28,80,0.447,0.187
28835,0.2,0.3,11,100000,750,0.28,80,0.449,0.188
29200,0.2,0.3,11,100000,750,0.28,80,0.451,0.189
29565,0.2,0.3,11,100000,750,0.28,80,0.453,0.189
29930,0.2,0.3,11,100000,750,0.28,80,0.455,0.19
30295,0.2,0.3,11,100000,750,0.28,80,0.456,0.19
30660,0.2,0.3,11,100000,750,0.28,80,0.458,0.191
31025,0.2,0.3,11,100000,750,0.28,80,0.46,0.191
31390,0.2,0.3,11,100000,750,0.28,80,0.461,0.192
31755,0.2,0.3,11,100000,750,0.28,80,0.463,0.192
32120,0.2,0.3,11,100000,750,0.28,80,0.465,0.193
32485,0.2,0.3,11,100000,750,0.28,80,0.466,0.193
32850,0.2,0.3,11,100000,750,0.28,80,0.468,0.193
33215,0.2,0.3,11,100000,750,0.28,80,0.469,0.193
33580,0.2,0.3,11,100000,750,0.28,80,0.471,0.193
33945,0.2,0.3,11,100000,750,0.28,80,0.472,0.193
34310,0.2,0.3,11,100000,750,0.28,80,0.474,0.193
34675,0.2,0.3,11,100000,750,0.28,80,0.475,0.193
35040,0.2,0.3,11,100000,750,0.28,80,0.477,0.193
35405,0.2,0.3,11,100000,750,0.28,80,0.478,0.193
35770,0.2,0.3,11,100000,750,0.28,80,0.48,0.193
36135,0.2,0.3,11,100000,750,0.28,80,0.481,0.193
36500,0.2,0.3,11,100000,750,0.28,80,0.482,0.194
36865,0.2,0.3,11,100000,750,0.28,80,0.484,0.194
37230,0.2,0.3,11,100000,750,0.28,80,0.485,0.194
37595,0.2,0.3,11,100000,750,0.28,80,0.487,0.194
37960,0.2,0.3,11,100000,750,0.28,80,0.488,0.195
38325,0.2,0.3,11,100000,750,0.28,80,0.49,0.195
38690,0.2,0.3,11,100000,750,0.28,80,0.491,0.195
39055,0.2,0.3,11,100000,750,0.28,80,0.493,0.195
39420,0.2,0.3,11,100000,750,0.28,80,0.494,0.195
39785,0.2,0.3,11,100000,750,0.28,80,0.495,0.196
40150,0.2,0.3,11,100000,750,0.28,80,0.497,0.196
40515,0.2,0.3,11,100000,750,0.28,80,0.498,0.196
40880,0.2,0.3,11,100000,750,0.28,80,0.499,0.196
41245,0.2,0.3,11,100000,750,0.28,80,0.5,0.197
41610,0.2,0.3,11,100000,750,0.28,80,0.502,0.197
41975,0.2,0.3,11,100000,750,0.28,80,0.503,0.197
42340,0.2,0.3,11,100000,750,0.28,80,0.504,0.197
42705,0.2,0.3,11,100000,750,0.28,80,0.505,0.198
43070,0.2,0.3,11,100000,750,0.28,80,0.506,0.198
43435,0.2,0.3,11,100000,750,0.28,80,0.508,0.198
43800,0.2,0.3,11,100000,750,0.28,80,0.509,0.198
44165,0.2,0.3,11,100000,750,0.28,80,0.51,0.199
44530,0.2,0.3,11,100000,750,0.28,80,0.511,0.199
44895,0.2,0.3,11,100000,750,0.28,80,0.512,0.199
45260,0.2,0.3,11,100000,750,0.28,80,0.513,0.199
45625,0.2,0.3,11,100000,750,0.28,80,0.514,0.2
45990,0.2,0.3,11,100000,750,0.28,80,0.515,0.2
46355,0.2,0.3,11,100000,750,0.28,80,0.516,0.2
46720,0.2,0.3,11,100000,750,0.28,80,0.517,0.201
47085,0.2,0.3,11,100000,750,0.28,80,0.518,0.201
47450,0.2,0.3,11,100000,750,0.28,80,0.52,0.201
47815,0.2,0.3,11,100000,750,0.28,80,0.521,0.201
48180,0.2,0.3,11,100000,750,0.28,80,0.522,0.201
48545,0.2,0.3,11,100000,750,0.28,80,0.523,0.202
48910,0.2,0.3,11,100000,750,0.28,80,0.524,0.202
49275,0.2,0.3,11,100000,750,0.28,80,0.526,0.202
49640,0.2,0.3,11,100000,750,0.28,80,0.527,0.202
50005,0.2,0.3,11,100000,750,0.28,80,0.528,0.203
50370,0.2,0.3,11,100000,750,0.28,80,0.529,0.203
50735,0.2,0.3,11,100000,750,0.28,80,0.53,0.203
51100,0.2,0.3,11,100000,750,0.28,80,0.532,0.203
51465,0.2,0.3,11,100000,750,0.28,80,0.533,0.203
51830,0.2,0.3,11,100000,750,0.28,80,0.534,0.203
52195,0.2,0.3,11,100000,750,0.28,80,0.535,0.203
52560,0.2,0.3,11,100000,750,0.28,80,0.536,0.203
52925,0.2,0.3,11,100000,750,0.28,80,0.538,0.203
53290,0.2,0.3,11,100000,750,0.28,80,0.539,0.203
53655,0.2,0.3,11,100000,750,0.28,80,0.54,0.203
54020,0.2,0.3,11,100000,750,0.28,80,0.541,0.203
54385,0.2,0.3,11,100000,750,0.28,80,0.542,0.203
54750,0.2,0.3,11,100000,750,0.28,80,0.543,0.203
55115,0.2,0.3,11,100000,750,0.28,80,0.544,0.204
55480,0.2,0.3,11,100000,750,0.28,80,0.545,0.205
55845,0.2,0.3,11,100000,750,0.28,80,0.546,0.206
56210,0.2,0.3,11,100000,750,0.28,80,0.546,0.207
56575,0.2,0.3,11,100000,750,0.28,80,0.547,0.207
56940,0.2,0.3,11,100000,750,0.28,80,0.548,0.208
57305,0.2,0.3,11,100000,750,0.28,80,0.549,0.209
57670,0.2,0.3,11,100000,750,0.28,80,0.549,0.21
58035,0.2,0.3,11,100000,750,0.28,80,0.55,0.21
58400,0.2,0.3,11,100000,750,0.28,80,0.551,0.21
58765,0.2,0.3,11,100000,750,0.28,80,0.552,0.21
59130,0.2,0.3,11,100000,750,0.28,80,0.553,0.21
59495,0.2,0.3,11,100000,750,0.28,80,0.554,0.21
